date,state,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,lat,long,year
1/1/19,Johor,1792.4,1743.2,49.3,763.4,70.1,2.8,1.4854,103.7618,2019
4/1/19,Johor,1920.9,1869.1,51.8,642.9,74.9,2.7,1.4854,103.7618,2019
7/1/19,Johor,1714.6,1666.2,48.4,858.3,66.6,2.8,1.4854,103.7618,2019
10/1/19,Johor,1783.5,1736.0,47.5,797.9,69.1,2.7,1.4854,103.7618,2019
1/1/20,Johor,1771.9,1714.4,57.5,823.3,68.3,3.2,1.4854,103.7618,2020
4/1/20,Johor,1754.1,1673.0,81.2,857.4,67.2,4.6,1.4854,103.7618,2020
7/1/20,Johor,1858.7,1792.2,66.5,793.9,70.1,3.6,1.4854,103.7618,2020
10/1/20,Johor,1824.4,1752.4,72.0,854.1,68.1,3.9,1.4854,103.7618,2020
1/1/21,Johor,1793.4,1722.6,70.8,846.6,67.9,3.9,1.4854,103.7618,2021
4/1/21,Johor,1766.4,1698.6,67.8,847.6,67.6,3.8,1.4854,103.7618,2021
7/1/21,Johor,1807.6,1735.2,72.4,824.0,68.7,4.0,1.4854,103.7618,2021
10/1/21,Johor,1839.5,1774.2,65.3,807.6,69.5,3.6,1.4854,103.7618,2021
1/1/22,Johor,1839.3,1780.7,58.6,834.1,68.8,3.2,1.4854,103.7618,2022
4/1/22,Johor,1848.4,1795.0,53.4,813.2,69.4,2.9,1.4854,103.7618,2022
7/1/22,Johor,1864.4,1818.1,46.3,810.7,69.7,2.5,1.4854,103.7618,2022
10/1/22,Johor,1856.0,1812.2,43.7,823.7,69.3,2.4,1.4854,103.7618,2022
1/1/19,Kedah,956.9,928.5,28.3,536.1,64.1,3.0,6.1184,100.3685,2019
4/1/19,Kedah,963.2,936.2,27.0,542.6,64.0,2.8,6.1184,100.3685,2019
7/1/19,Kedah,942.3,911.9,30.4,567.6,62.4,3.2,6.1184,100.3685,2019
10/1/19,Kedah,943.0,914.1,28.9,568.4,62.4,3.1,6.1184,100.3685,2019
1/1/20,Kedah,982.2,946.2,36.0,540.5,64.5,3.7,6.1184,100.3685,2020
4/1/20,Kedah,978.2,937.9,40.3,550.4,64.0,4.1,6.1184,100.3685,2020
7/1/20,Kedah,961.7,919.5,42.2,575.0,62.6,4.4,6.1184,100.3685,2020
10/1/20,Kedah,956.9,918.7,38.2,584.3,62.1,4.0,6.1184,100.3685,2020
1/1/21,Kedah,975.5,940.3,35.2,569.1,63.2,3.6,6.1184,100.3685,2021
4/1/21,Kedah,997.8,959.0,38.8,555.4,64.2,3.9,6.1184,100.3685,2021
7/1/21,Kedah,1028.9,990.1,38.8,528.9,66.1,3.8,6.1184,100.3685,2021
10/1/21,Kedah,1014.2,975.3,38.9,548.5,64.9,3.8,6.1184,100.3685,2021
1/1/22,Kedah,1032.5,997.3,35.2,536.7,65.8,3.4,6.1184,100.3685,2022
4/1/22,Kedah,1034.1,999.8,34.3,539.7,65.7,3.3,6.1184,100.3685,2022
7/1/22,Kedah,1048.5,1017.3,31.2,533.7,66.3,3.0,6.1184,100.3685,2022
10/1/22,Kedah,1057.3,1022.5,34.8,539.7,66.2,3.3,6.1184,100.3685,2022
1/1/19,Kelantan,717.1,685.7,31.4,478.8,60.0,4.4,6.1254,102.2381,2019
4/1/19,Kelantan,696.2,661.9,34.3,510.7,57.7,4.9,6.1254,102.2381,2019
7/1/19,Kelantan,716.9,680.6,36.3,498.9,59.0,5.1,6.1254,102.2381,2019
10/1/19,Kelantan,738.6,701.2,37.4,488.0,60.2,5.1,6.1254,102.2381,2019
1/1/20,Kelantan,732.4,702.0,30.4,495.0,59.7,4.2,6.1254,102.2381,2020
4/1/20,Kelantan,723.6,692.9,30.7,509.7,58.7,4.2,6.1254,102.2381,2020
7/1/20,Kelantan,715.8,683.2,32.7,525.8,57.7,4.6,6.1254,102.2381,2020
10/1/20,Kelantan,703.9,675.3,28.6,544.8,56.4,4.1,6.1254,102.2381,2020
1/1/21,Kelantan,698.3,667.8,30.5,562.0,55.4,4.4,6.1254,102.2381,2021
4/1/21,Kelantan,721.9,687.4,34.5,542.4,57.1,4.8,6.1254,102.2381,2021
7/1/21,Kelantan,747.6,709.7,37.9,522.4,58.9,5.1,6.1254,102.2381,2021
10/1/21,Kelantan,773.5,737.2,36.2,500.8,60.7,4.7,6.1254,102.2381,2021
1/1/22,Kelantan,787.9,757.3,30.6,493.2,61.5,3.9,6.1254,102.2381,2022
4/1/22,Kelantan,791.0,760.8,30.3,498.4,61.3,3.8,6.1254,102.2381,2022
7/1/22,Kelantan,792.0,763.1,28.9,504.3,61.1,3.6,6.1254,102.2381,2022
10/1/22,Kelantan,800.7,768.0,32.8,505.5,61.3,4.1,6.1254,102.2381,2022
1/1/19,Melaka,425.7,418.6,7.1,212.5,66.7,1.7,2.1896,102.2501,2019
4/1/19,Melaka,452.6,446.9,5.7,190.6,70.4,1.3,2.1896,102.2501,2019
7/1/19,Melaka,433.0,426.2,6.8,211.0,67.2,1.6,2.1896,102.2501,2019
10/1/19,Melaka,435.9,428.7,7.1,208.8,67.6,1.6,2.1896,102.2501,2019
1/1/20,Melaka,444.4,438.9,5.5,202.4,68.7,1.2,2.1896,102.2501,2020
4/1/20,Melaka,439.6,430.0,9.7,210.5,67.6,2.2,2.1896,102.2501,2020
7/1/20,Melaka,426.1,415.5,10.6,220.7,65.9,2.5,2.1896,102.2501,2020
10/1/20,Melaka,432.6,416.5,16.1,224.5,65.8,3.7,2.1896,102.2501,2020
1/1/21,Melaka,436.4,420.8,15.7,217.7,66.7,3.6,2.1896,102.2501,2021
4/1/21,Melaka,433.4,417.6,15.7,220.3,66.3,3.6,2.1896,102.2501,2021
7/1/21,Melaka,454.3,440.5,13.8,212.0,68.2,3.0,2.1896,102.2501,2021
10/1/21,Melaka,461.2,447.0,14.2,203.5,69.4,3.1,2.1896,102.2501,2021
1/1/22,Melaka,453.1,439.5,13.6,210.6,68.3,3.0,2.1896,102.2501,2022
4/1/22,Melaka,463.0,448.0,15.0,211.2,68.7,3.2,2.1896,102.2501,2022
7/1/22,Melaka,463.2,451.1,12.1,207.3,69.1,2.6,2.1896,102.2501,2022
10/1/22,Melaka,454.2,441.9,12.3,222.7,67.1,2.7,2.1896,102.2501,2022
1/1/19,Negeri Sembilan,503.0,488.0,15.0,265.2,65.5,3.0,2.7258,102.0468,2019
4/1/19,Negeri Sembilan,508.4,495.8,12.6,263.7,65.8,2.5,2.7258,102.0468,2019
7/1/19,Negeri Sembilan,498.4,487.7,10.7,276.6,64.3,2.1,2.7258,102.0468,2019
10/1/19,Negeri Sembilan,513.8,500.5,13.2,263.3,66.1,2.6,2.7258,102.0468,2019
1/1/20,Negeri Sembilan,507.8,491.0,16.8,269.9,65.3,3.3,2.7258,102.0468,2020
4/1/20,Negeri Sembilan,502.5,484.3,18.2,273.3,64.8,3.6,2.7258,102.0468,2020
7/1/20,Negeri Sembilan,500.0,481.5,18.5,279.8,64.1,3.7,2.7258,102.0468,2020
10/1/20,Negeri Sembilan,491.2,470.4,20.8,287.8,63.1,4.2,2.7258,102.0468,2020
1/1/21,Negeri Sembilan,498.1,479.5,18.7,282.3,63.8,3.7,2.7258,102.0468,2021
4/1/21,Negeri Sembilan,505.6,488.1,17.5,268.4,65.3,3.5,2.7258,102.0468,2021
7/1/21,Negeri Sembilan,512.0,493.2,18.8,276.6,64.9,3.7,2.7258,102.0468,2021
10/1/21,Negeri Sembilan,509.8,494.0,15.7,274.8,65.0,3.1,2.7258,102.0468,2021
1/1/22,Negeri Sembilan,510.0,493.3,16.7,273.7,65.1,3.3,2.7258,102.0468,2022
4/1/22,Negeri Sembilan,511.5,494.7,16.9,271.8,65.3,3.3,2.7258,102.0468,2022
7/1/22,Negeri Sembilan,525.0,509.2,15.8,266.4,66.3,3.0,2.7258,102.0468,2022
10/1/22,Negeri Sembilan,532.0,518.0,14.0,259.9,67.2,2.6,2.7258,102.0468,2022
1/1/19,Pahang,739.4,717.5,21.9,371.7,66.5,3.0,3.8126,103.3256,2019
4/1/19,Pahang,738.4,712.8,25.6,383.7,65.8,3.5,3.8126,103.3256,2019
7/1/19,Pahang,742.8,724.5,18.3,375.7,66.4,2.5,3.8126,103.3256,2019
10/1/19,Pahang,759.1,742.8,16.3,360.8,67.8,2.2,3.8126,103.3256,2019
1/1/20,Pahang,756.8,733.7,23.1,370.7,67.1,3.0,3.8126,103.3256,2020
4/1/20,Pahang,750.6,727.2,23.4,379.6,66.4,3.1,3.8126,103.3256,2020
7/1/20,Pahang,760.9,739.4,21.5,371.6,67.2,2.8,3.8126,103.3256,2020
10/1/20,Pahang,718.6,694.9,23.6,418.0,63.2,3.3,3.8126,103.3256,2020
1/1/21,Pahang,733.6,706.9,26.7,407.9,64.3,3.6,3.8126,103.3256,2021
4/1/21,Pahang,733.4,707.3,26.1,397.5,64.9,3.6,3.8126,103.3256,2021
7/1/21,Pahang,751.8,723.6,28.2,396.8,65.5,3.8,3.8126,103.3256,2021
10/1/21,Pahang,735.8,711.6,24.2,412.1,64.1,3.3,3.8126,103.3256,2021
1/1/22,Pahang,750.7,732.4,18.4,397.2,65.4,2.4,3.8126,103.3256,2022
4/1/22,Pahang,745.8,725.6,20.2,405.6,64.8,2.7,3.8126,103.3256,2022
7/1/22,Pahang,744.5,722.9,21.6,406.7,64.7,2.9,3.8126,103.3256,2022
10/1/22,Pahang,757.2,736.5,20.7,397.7,65.6,2.7,3.8126,103.3256,2022
1/1/19,Pulau Pinang,845.7,829.4,16.2,419.7,66.8,1.9,5.4164,100.3327,2019
4/1/19,Pulau Pinang,867.7,851.3,16.4,398.5,68.5,1.9,5.4164,100.3327,2019
7/1/19,Pulau Pinang,857.7,841.7,16.0,413.4,67.5,1.9,5.4164,100.3327,2019
10/1/19,Pulau Pinang,854.0,835.0,19.0,419.5,67.1,2.2,5.4164,100.3327,2019
1/1/20,Pulau Pinang,868.8,850.7,18.0,408.3,68.0,2.1,5.4164,100.3327,2020
4/1/20,Pulau Pinang,859.9,822.7,37.2,419.6,67.2,4.3,5.4164,100.3327,2020
7/1/20,Pulau Pinang,860.9,826.0,34.8,430.2,66.7,4.0,5.4164,100.3327,2020
10/1/20,Pulau Pinang,915.4,881.9,33.6,372.1,71.1,3.7,5.4164,100.3327,2020
1/1/21,Pulau Pinang,908.5,876.4,32.1,375.8,70.7,3.5,5.4164,100.3327,2021
4/1/21,Pulau Pinang,951.1,913.9,37.2,342.9,73.5,3.9,5.4164,100.3327,2021
7/1/21,Pulau Pinang,915.6,881.5,34.0,379.1,70.7,3.7,5.4164,100.3327,2021
10/1/21,Pulau Pinang,937.9,908.1,29.9,363.0,72.1,3.2,5.4164,100.3327,2021
1/1/22,Pulau Pinang,924.7,894.6,30.1,375.9,71.1,3.3,5.4164,100.3327,2022
4/1/22,Pulau Pinang,926.6,900.1,26.5,374.6,71.2,2.9,5.4164,100.3327,2022
7/1/22,Pulau Pinang,926.4,902.3,24.1,380.4,70.9,2.6,5.4164,100.3327,2022
10/1/22,Pulau Pinang,946.1,924.4,21.7,371.2,71.8,2.3,5.4164,100.3327,2022
1/1/19,Perak,1088.8,1044.7,44.1,605.8,64.3,4.1,4.5921,101.0901,2019
4/1/19,Perak,1065.8,1016.2,49.6,631.8,62.8,4.7,4.5921,101.0901,2019
7/1/19,Perak,1095.7,1051.8,43.9,603.5,64.5,4.0,4.5921,101.0901,2019
10/1/19,Perak,1103.1,1052.1,51.0,595.2,65.0,4.6,4.5921,101.0901,2019
1/1/20,Perak,1110.0,1063.7,46.2,607.9,64.6,4.2,4.5921,101.0901,2020
4/1/20,Perak,1094.2,1034.8,59.4,609.3,64.2,5.4,4.5921,101.0901,2020
7/1/20,Perak,1115.4,1062.3,53.1,598.5,65.1,4.8,4.5921,101.0901,2020
10/1/20,Perak,1088.8,1035.8,52.9,623.9,63.6,4.9,4.5921,101.0901,2020
1/1/21,Perak,1088.4,1038.9,49.5,625.2,63.5,4.6,4.5921,101.0901,2021
4/1/21,Perak,1124.8,1075.2,49.7,585.6,65.8,4.4,4.5921,101.0901,2021
7/1/21,Perak,1113.7,1060.7,52.9,595.8,65.1,4.8,4.5921,101.0901,2021
10/1/21,Perak,1110.7,1062.8,47.9,611.3,64.5,4.3,4.5921,101.0901,2021
1/1/22,Perak,1128.3,1085.6,42.7,591.7,65.6,3.8,4.5921,101.0901,2022
4/1/22,Perak,1143.7,1103.0,40.7,585.6,66.1,3.6,4.5921,101.0901,2022
7/1/22,Perak,1149.4,1114.2,35.3,579.2,66.5,3.1,4.5921,101.0901,2022
10/1/22,Perak,1122.7,1090.8,31.9,599.1,65.2,2.8,4.5921,101.0901,2022
1/1/19,Perlis,113.8,108.1,5.7,59.7,65.6,5.0,6.4444,100.2048,2019
4/1/19,Perlis,114.8,110.5,4.3,58.8,66.1,3.8,6.4444,100.2048,2019
7/1/19,Perlis,111.0,106.9,4.1,63.5,63.6,3.7,6.4444,100.2048,2019
10/1/19,Perlis,114.7,112.4,2.3,60.5,65.5,2.0,6.4444,100.2048,2019
1/1/20,Perlis,116.3,112.0,4.2,57.4,67.0,3.6,6.4444,100.2048,2020
4/1/20,Perlis,114.8,110.0,4.8,59.4,65.9,4.2,6.4444,100.2048,2020
7/1/20,Perlis,104.2,99.3,4.9,71.6,59.3,4.7,6.4444,100.2048,2020
10/1/20,Perlis,111.7,106.0,5.7,65.7,63.0,5.1,6.4444,100.2048,2020
1/1/21,Perlis,110.8,105.0,5.8,66.3,62.6,5.3,6.4444,100.2048,2021
4/1/21,Perlis,117.4,111.2,6.2,62.3,65.3,5.3,6.4444,100.2048,2021
7/1/21,Perlis,113.0,107.5,5.5,64.2,63.8,4.9,6.4444,100.2048,2021
10/1/21,Perlis,116.1,111.2,4.9,63.9,64.5,4.2,6.4444,100.2048,2021
1/1/22,Perlis,115.3,111.4,3.9,62.9,64.7,3.4,6.4444,100.2048,2022
4/1/22,Perlis,116.0,112.3,3.8,62.8,64.9,3.3,6.4444,100.2048,2022
7/1/22,Perlis,119.0,116.0,3.0,60.6,66.3,2.5,6.4444,100.2048,2022
10/1/22,Perlis,118.2,115.6,2.6,62.6,65.4,2.2,6.4444,100.2048,2022
1/1/19,Selangor,3514.8,3412.1,102.7,1183.2,74.8,2.9,3.0738,101.5183,2019
4/1/19,Selangor,3494.2,3407.6,86.6,1227.6,74.0,2.5,3.0738,101.5183,2019
7/1/19,Selangor,3728.3,3651.4,76.9,1012.8,78.6,2.1,3.0738,101.5183,2019
10/1/19,Selangor,3648.3,3559.9,88.3,1119.8,76.5,2.4,3.0738,101.5183,2019
1/1/20,Selangor,3523.9,3443.8,80.1,1264.1,73.6,2.3,3.0738,101.5183,2020
4/1/20,Selangor,3529.0,3367.7,161.3,1281.8,73.4,4.6,3.0738,101.5183,2020
7/1/20,Selangor,3689.6,3511.9,177.7,1149.7,76.2,4.8,3.0738,101.5183,2020
10/1/20,Selangor,3881.9,3707.0,174.9,984.4,79.8,4.5,3.0738,101.5183,2020
1/1/21,Selangor,3881.8,3708.5,173.2,1047.4,78.8,4.5,3.0738,101.5183,2021
4/1/21,Selangor,3715.6,3550.5,165.0,1244.8,74.9,4.4,3.0738,101.5183,2021
7/1/21,Selangor,3715.9,3583.9,132.0,1261.5,74.7,3.6,3.0738,101.5183,2021
10/1/21,Selangor,3658.6,3553.3,105.3,1279.7,74.1,2.9,3.0738,101.5183,2021
1/1/22,Selangor,3715.6,3597.5,118.1,1231.9,75.1,3.2,3.0738,101.5183,2022
4/1/22,Selangor,3760.5,3649.7,110.8,1208.0,75.7,2.9,3.0738,101.5183,2022
7/1/22,Selangor,3766.9,3647.1,119.7,1220.1,75.5,3.2,3.0738,101.5183,2022
10/1/22,Selangor,3809.6,3697.4,112.2,1209.9,75.9,2.9,3.0738,101.5183,2022
1/1/19,Terengganu,483.1,463.7,19.4,311.9,60.8,4.0,5.3117,103.1324,2019
4/1/19,Terengganu,485.1,465.9,19.2,312.0,60.9,4.0,5.3117,103.1324,2019
7/1/19,Terengganu,496.8,481.0,15.7,305.9,61.9,3.2,5.3117,103.1324,2019
10/1/19,Terengganu,495.0,478.7,16.2,312.5,61.3,3.3,5.3117,103.1324,2019
1/1/20,Terengganu,503.8,487.1,16.7,309.3,62.0,3.3,5.3117,103.1324,2020
4/1/20,Terengganu,488.3,469.8,18.5,328.3,59.8,3.8,5.3117,103.1324,2020
7/1/20,Terengganu,458.5,440.7,17.8,362.3,55.9,3.9,5.3117,103.1324,2020
10/1/20,Terengganu,485.4,466.2,19.2,337.3,59.0,4.0,5.3117,103.1324,2020
1/1/21,Terengganu,492.4,474.2,18.3,335.8,59.5,3.7,5.3117,103.1324,2021
4/1/21,Terengganu,480.5,460.5,20.0,359.8,57.2,4.2,5.3117,103.1324,2021
7/1/21,Terengganu,472.7,451.8,20.9,362.7,56.6,4.4,5.3117,103.1324,2021
10/1/21,Terengganu,484.6,464.7,19.9,358.2,57.5,4.1,5.3117,103.1324,2021
1/1/22,Terengganu,498.8,476.3,22.6,348.1,58.9,4.5,5.3117,103.1324,2022
4/1/22,Terengganu,501.6,479.4,22.2,347.9,59.0,4.4,5.3117,103.1324,2022
7/1/22,Terengganu,504.0,482.1,21.9,352.4,58.8,4.3,5.3117,103.1324,2022
10/1/22,Terengganu,514.4,492.0,22.4,345.3,59.8,4.3,5.3117,103.1324,2022
1/1/19,Sabah,2033.5,1926.2,107.2,843.6,70.7,5.3,5.978,116.0753,2019
4/1/19,Sabah,2004.6,1882.4,122.2,887.3,69.3,6.1,5.978,116.0753,2019
7/1/19,Sabah,2046.8,1910.2,136.5,857.3,70.5,6.7,5.978,116.0753,2019
10/1/19,Sabah,2114.1,1999.8,114.3,806.2,72.4,5.4,5.978,116.0753,2019
1/1/20,Sabah,2133.9,1990.9,143.0,799.8,72.7,6.7,5.978,116.0753,2020
4/1/20,Sabah,2132.3,1938.1,194.2,816.2,72.3,9.1,5.978,116.0753,2020
7/1/20,Sabah,2052.7,1876.9,175.8,911.9,69.2,8.6,5.978,116.0753,2020
10/1/20,Sabah,1984.6,1817.8,166.7,995.2,66.6,8.4,5.978,116.0753,2020
1/1/21,Sabah,2019.6,1839.4,180.2,971.8,67.5,8.9,5.978,116.0753,2021
4/1/21,Sabah,2004.4,1829.3,175.1,999.9,66.7,8.7,5.978,116.0753,2021
7/1/21,Sabah,1982.1,1803.5,178.6,1027.8,65.9,9.0,5.978,116.0753,2021
10/1/21,Sabah,2045.9,1861.7,184.2,985.1,67.5,9.0,5.978,116.0753,2021
1/1/22,Sabah,2059.5,1871.1,188.3,983.5,67.7,9.1,5.978,116.0753,2022
4/1/22,Sabah,2062.9,1885.9,177.0,993.9,67.5,8.6,5.978,116.0753,2022
7/1/22,Sabah,2122.4,1948.2,174.2,951.8,69.0,8.2,5.978,116.0753,2022
10/1/22,Sabah,2176.5,1999.8,176.7,907.6,70.6,8.1,5.978,116.0753,2022
1/1/19,Sarawak,1380.2,1334.1,46.1,585.3,70.2,3.3,1.5533,110.3592,2019
4/1/19,Sarawak,1327.5,1292.7,34.8,641.4,67.4,2.6,1.5533,110.3592,2019
7/1/19,Sarawak,1317.7,1273.1,44.6,660.0,66.6,3.4,1.5533,110.3592,2019
10/1/19,Sarawak,1351.3,1303.1,48.3,632.5,68.1,3.6,1.5533,110.3592,2019
1/1/20,Sarawak,1353.8,1309.1,44.7,633.9,68.1,3.3,1.5533,110.3592,2020
4/1/20,Sarawak,1342.2,1266.2,76.0,668.3,66.8,5.7,1.5533,110.3592,2020
7/1/20,Sarawak,1358.3,1305.6,52.8,657.3,67.4,3.9,1.5533,110.3592,2020
10/1/20,Sarawak,1353.7,1293.4,60.3,662.5,67.1,4.5,1.5533,110.3592,2020
1/1/21,Sarawak,1365.7,1301.5,64.2,657.9,67.5,4.7,1.5533,110.3592,2021
4/1/21,Sarawak,1418.8,1356.1,62.6,625.2,69.4,4.4,1.5533,110.3592,2021
7/1/21,Sarawak,1419.1,1354.3,64.7,615.7,69.7,4.6,1.5533,110.3592,2021
10/1/21,Sarawak,1441.7,1384.1,57.6,603.3,70.5,4.0,1.5533,110.3592,2021
1/1/22,Sarawak,1440.8,1395.0,45.7,602.9,70.5,3.2,1.5533,110.3592,2022
4/1/22,Sarawak,1453.1,1404.9,48.2,598.6,70.8,3.3,1.5533,110.3592,2022
7/1/22,Sarawak,1443.0,1400.1,42.9,622.9,69.8,3.0,1.5533,110.3592,2022
10/1/22,Sarawak,1449.8,1405.3,44.5,627.8,69.8,3.1,1.5533,110.3592,2022
